iter	F1	Logloss
0	0.5050989802	0.6626267268
1	0.5050989802	0.6354186608
2	0.5050989802	0.6108133868
3	0.5228070175	0.5916115376
4	0.513847967	0.5723633473
5	0.5106888361	0.5565493565
6	0.5047961631	0.5419879672
7	0.4878957169	0.5323284956
8	0.4963144963	0.5188762409
9	0.4925558313	0.5121886805
10	0.5012224939	0.5022371473
11	0.4990803188	0.4949928498
12	0.5	0.4865627253
13	0.5142165759	0.480131821
14	0.5117682559	0.4734221346
15	0.5219976219	0.4668381465
16	0.5255041518	0.4608422648
17	0.5423728814	0.456486914
18	0.5412039743	0.4531210446
19	0.5362997658	0.4500282048
20	0.5310467179	0.4463562171
21	0.5454545455	0.4430043986
22	0.5440747227	0.4397914171
23	0.5469387755	0.4370264913
24	0.544606414	0.434113698
25	0.5477707006	0.4321181665
26	0.5494505495	0.4298536419
27	0.5480880649	0.4290957559
28	0.5511627907	0.4270382064
29	0.558193399	0.4249945553
30	0.5588405797	0.4235949239
31	0.5620311598	0.4218521337
32	0.5641911341	0.4205807187
33	0.5638665132	0.419762236
34	0.5627157652	0.4187756906
35	0.5630397237	0.4184248203
36	0.5623921794	0.4169121611
37	0.5652173913	0.4164553989
38	0.5645714286	0.4155138361
39	0.5657370518	0.4147758587
40	0.5702947846	0.4133763562
41	0.5712669683	0.4124346036
42	0.5752961083	0.4122308661
43	0.5730337079	0.4114660658
44	0.5762144054	0.4109103841
45	0.5768799102	0.4098936474
46	0.5800671892	0.4088699135
47	0.5834266517	0.4081016295
48	0.5869200671	0.4068616227
49	0.5872483221	0.40587919
50	0.589155953	0.4049827019
51	0.5899441341	0.4045621335
52	0.5896147404	0.4041422675
53	0.5896147404	0.4032058937
54	0.5904017857	0.4028658773
55	0.5896147404	0.4019906372
56	0.5915178571	0.4011393365
57	0.590273896	0.4007911345
58	0.590273896	0.40062119
59	0.5911879532	0.4001502666
60	0.5934188511	0.399282226
61	0.5934188511	0.3989042559
62	0.5947748749	0.3985731821
63	0.5955555556	0.3979230563
64	0.5963353692	0.3976761249
65	0.5945646145	0.3974388703
66	0.5934553522	0.3971953119
67	0.5970149254	0.396456952
68	0.5962389381	0.3964253937
69	0.5977900552	0.3956852284
70	0.5971302428	0.3955692394
71	0.5983471074	0.3954884791
72	0.598459846	0.3950721108
73	0.601867106	0.3946971009
74	0.6026344676	0.3946379687
75	0.6039387309	0.3941828939
76	0.6046002191	0.3939980534
77	0.6034009874	0.3936564316
78	0.6034009874	0.3936189965
79	0.6037321625	0.393557316
80	0.6034009874	0.3933400414
81	0.6041666667	0.3929365215
82	0.6049315068	0.3927425934
83	0.6037321625	0.3922364172
84	0.6060273973	0.391700292
85	0.6067907996	0.3914125946
86	0.6068890104	0.3911655562
87	0.6090759978	0.3906246314
88	0.6056955093	0.3904455607
89	0.6086480569	0.3898670961
90	0.6101694915	0.3898262552
91	0.6094091904	0.3896157953
92	0.6094091904	0.3893691135
93	0.6078860898	0.3888680681
94	0.6087431694	0.3887166946
95	0.6095030038	0.3886126735
96	0.6132024004	0.3882458316
97	0.6113537118	0.3879286749
98	0.6113537118	0.3879279487
99	0.614044638	0.3874645711
100	0.6165577342	0.386896403
101	0.6169749728	0.386656244
102	0.6169749728	0.386588853
103	0.6169749728	0.386573645
104	0.6177270256	0.3863894897
105	0.6177270256	0.3860868537
106	0.6173913043	0.3860868302
107	0.6188145731	0.3857472502
108	0.6180631121	0.3856831545
109	0.6203150462	0.3852963696
110	0.6192286801	0.3852623404
111	0.6221498371	0.3845645329
112	0.6214014123	0.3842932425
113	0.6203904555	0.3840437081
114	0.6228974498	0.3838320281
115	0.6233062331	0.3837872597
116	0.6233062331	0.3837872564
117	0.6222222222	0.3836021917
118	0.6218851571	0.3835690736
119	0.6233766234	0.3832846307
120	0.6252028123	0.3829393875
121	0.6245272825	0.3823095371
122	0.6245272825	0.382089567
123	0.6248648649	0.3819265293
124	0.6266233766	0.381812753
125	0.6266233766	0.3817225787
126	0.6258798051	0.3816404553
127	0.6240520043	0.3813999083
128	0.6266882766	0.3810545932
129	0.6259459459	0.3807900626
130	0.6252028123	0.3807712726
131	0.6280454792	0.3803260262
132	0.6280454792	0.3801282675
