iter	Passed	Remaining
0	55	55821
1	60	30087
2	64	21404
3	68	17061
4	72	14409
5	78	12929
6	83	11854
7	87	10841
8	91	10119
9	94	9386
10	98	8900
11	101	8367
12	105	8008
13	109	7692
14	112	7401
15	116	7185
16	121	7025
17	127	6931
18	132	6850
19	136	6684
20	140	6553
21	144	6422
22	148	6316
23	152	6210
24	156	6122
25	160	6019
26	164	5923
27	166	5788
28	170	5716
29	174	5650
30	178	5574
31	182	5519
32	186	5461
33	189	5374
34	193	5331
35	195	5246
36	199	5205
37	202	5114
38	206	5079
39	210	5049
40	214	5023
41	218	4984
42	220	4912
43	224	4888
44	228	4859
45	233	4832
46	237	4815
47	241	4795
48	245	4770
49	249	4746
50	254	4728
51	258	4715
52	262	4692
53	266	4675
54	270	4650
55	274	4625
56	278	4602
57	282	4587
58	284	4543
59	288	4524
60	292	4503
61	296	4487
62	300	4474
63	305	4465
64	309	4450
65	314	4444
66	318	4430
67	322	4419
68	326	4408
69	330	4397
70	334	4381
71	338	4365
72	342	4349
73	346	4332
74	348	4299
75	352	4285
76	356	4270
77	359	4254
78	364	4254
79	371	4273
80	375	4265
81	382	4278
82	386	4271
83	391	4266
84	396	4267
85	401	4264
86	405	4257
87	411	4265
88	417	4277
89	427	4327
90	430	4300
91	437	4313
92	439	4285
93	443	4276
94	447	4264
95	450	4242
96	454	4234
97	458	4222
98	460	4192
99	464	4181
100	468	4173
101	473	4165
102	476	4153
103	479	4134
104	484	4128
105	488	4123
106	490	4093
107	494	4088
108	497	4066
109	501	4056
110	504	4037
111	508	4034
112	513	4029
113	518	4029
114	523	4026
115	527	4020
116	529	3995
117	534	3992
118	538	3984
119	542	3980
120	548	3982
121	552	3974
122	556	3966
123	560	3963
124	565	3959
125	569	3951
126	573	3942
127	578	3944
128	583	3937
129	587	3930
130	589	3907
131	594	3907
132	600	3917
133	604	3907
134	609	3902
135	613	3900
136	617	3888
137	619	3869
138	621	3851
139	625	3843
140	633	3856
141	642	3880
142	647	3882
143	650	3865
144	655	3868
145	661	3866
146	668	3878
147	677	3897
148	685	3912
149	689	3909
150	694	3902
151	698	3895
152	702	3888
153	707	3886
154	711	3880
155	715	3871
156	719	3865
157	724	3861
158	729	3857
159	733	3850
160	738	3847
161	743	3845
162	747	3837
163	752	3834
164	757	3831
165	759	3814
166	762	3805
167	767	3801
168	772	3796
169	776	3792
170	778	3775
171	783	3770
172	787	3763
173	792	3759
174	796	3753
175	801	3750
176	806	3748
177	813	3755
178	820	3761
179	828	3774
180	835	3778
181	846	3804
182	852	3806
183	854	3790
184	859	3786
185	863	3779
186	868	3776
187	874	3777
188	879	3773
189	884	3770
190	888	3762
191	893	3758
192	896	3750
193	902	3749
194	909	3755
195	917	3764
196	924	3767
197	929	3764
198	933	3759
199	941	3764
200	946	3762
201	952	3761
202	956	3755
203	961	3750
204	967	3751
205	972	3746
206	976	3741
207	981	3737
208	987	3738
209	992	3733
210	997	3729
211	1002	3727
212	1007	3721
213	1011	3716
214	1017	3713
215	1022	3709
216	1026	3705
